epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7457,1.7408,2.42496,1.69615,0.41493,0.38247,0.34943,0.15284,1.92469,3.23485,1.92964,0.000663265,0.000663265,0.000663265
2,66.4384,1.72677,2.02311,1.6823,0.38404,0.32784,0.26474,0.116,2.03806,3.53815,2.00901,0.0013036,0.0013036,0.0013036
3,97.4967,1.74425,1.91268,1.69339,0.40441,0.43196,0.32647,0.12009,2.10243,2.48102,2.07533,0.00191753,0.00191753,0.00191753
4,128.476,1.73281,1.83829,1.67836,0.5119,0.5134,0.49721,0.22239,1.84887,1.83219,1.82065,0.0018812,0.0018812,0.0018812
5,159.408,1.69213,1.76308,1.65888,0.49224,0.44074,0.39217,0.13226,2.1164,2.16951,2.05327,0.0018416,0.0018416,0.0018416
6,190.261,1.69777,1.71824,1.6426,0.52608,0.44639,0.44702,0.16491,2.06375,2.07603,1.96832,0.001802,0.001802,0.001802
7,221.363,1.65005,1.64832,1.58938,0.60326,0.5,0.51297,0.21293,1.89514,2.08588,1.83913,0.0017624,0.0017624,0.0017624
8,252.254,1.62412,1.61221,1.59434,0.6127,0.53196,0.57026,0.2389,1.90025,1.68838,1.88425,0.0017228,0.0017228,0.0017228
9,284.004,1.60216,1.57266,1.58314,0.63558,0.51063,0.55962,0.27362,1.74947,1.85931,1.75786,0.0016832,0.0016832,0.0016832
10,316.132,1.58046,1.53165,1.55738,0.61419,0.57732,0.57436,0.22515,2.03483,1.84184,1.95401,0.0016436,0.0016436,0.0016436
11,348.145,1.56879,1.48127,1.54583,0.68358,0.54845,0.598,0.29357,1.72518,1.60681,1.7451,0.001604,0.001604,0.001604
12,379.782,1.54856,1.45917,1.53036,0.69058,0.57629,0.63373,0.30475,1.74663,1.6555,1.74708,0.0015644,0.0015644,0.0015644
13,411.507,1.52558,1.45024,1.51973,0.64767,0.59318,0.62755,0.30041,1.77285,1.60907,1.7294,0.0015248,0.0015248,0.0015248
14,443.138,1.54917,1.38575,1.52371,0.67273,0.5732,0.61983,0.31254,1.70303,1.60832,1.68611,0.0014852,0.0014852,0.0014852
15,474.605,1.52516,1.40201,1.52183,0.67022,0.62646,0.66497,0.30435,1.78545,1.60574,1.75873,0.0014456,0.0014456,0.0014456
16,506.393,1.50556,1.35603,1.51733,0.6717,0.57216,0.5989,0.27755,1.83131,1.91077,1.78437,0.001406,0.001406,0.001406
17,539.284,1.50942,1.38019,1.51639,0.67833,0.58041,0.63919,0.28474,1.86822,1.50995,1.79253,0.0013664,0.0013664,0.0013664
18,571.125,1.47563,1.30105,1.47456,0.69682,0.59175,0.66913,0.34216,1.68393,1.41965,1.68999,0.0013268,0.0013268,0.0013268
19,602.535,1.48275,1.30462,1.47818,0.68598,0.56527,0.62318,0.31164,1.74585,1.59934,1.72319,0.0012872,0.0012872,0.0012872
20,634.368,1.47274,1.28191,1.46479,0.66187,0.59175,0.64025,0.32762,1.67756,1.56401,1.68721,0.0012476,0.0012476,0.0012476
21,666.123,1.4562,1.24397,1.47937,0.66908,0.65876,0.67608,0.36081,1.61137,1.3762,1.6565,0.001208,0.001208,0.001208
22,697.909,1.46329,1.25474,1.46633,0.61239,0.63196,0.60432,0.2967,1.71844,1.50277,1.67994,0.0011684,0.0011684,0.0011684
23,729.526,1.42674,1.21242,1.44059,0.7005,0.66495,0.71038,0.36186,1.66106,1.37501,1.63682,0.0011288,0.0011288,0.0011288
24,761.426,1.40221,1.17248,1.4264,0.7106,0.6379,0.70625,0.33751,1.77108,1.36044,1.73525,0.0010892,0.0010892,0.0010892
25,792.771,1.40317,1.20273,1.44332,0.68633,0.65052,0.68871,0.33735,1.73501,1.48831,1.69852,0.0010496,0.0010496,0.0010496
26,824.297,1.41012,1.17308,1.43444,0.7093,0.63196,0.68531,0.34315,1.68987,1.40126,1.66327,0.00101,0.00101,0.00101
27,855.707,1.3899,1.139,1.42338,0.72489,0.64921,0.70006,0.35167,1.7265,1.34639,1.73713,0.0009704,0.0009704,0.0009704
28,887.454,1.36017,1.11631,1.39962,0.70024,0.63299,0.68027,0.33852,1.71381,1.4515,1.69222,0.0009308,0.0009308,0.0009308
29,919.324,1.3419,1.09428,1.39134,0.71655,0.67835,0.71509,0.38832,1.58311,1.29643,1.59852,0.0008912,0.0008912,0.0008912
30,953.891,1.35916,1.10709,1.40806,0.73339,0.64639,0.69028,0.34754,1.70513,1.31336,1.67387,0.0008516,0.0008516,0.0008516
31,988.179,1.32787,1.0574,1.37058,0.71061,0.67336,0.7127,0.37105,1.66303,1.25322,1.67073,0.000812,0.000812,0.000812
32,1022.84,1.31245,1.06252,1.37545,0.71995,0.67526,0.71344,0.37339,1.63279,1.30309,1.63642,0.0007724,0.0007724,0.0007724
